Type,Lat,Long,Buckets
warehouses,-17.8237,48.4263,26
warehouses,-20.5167,47.25,41
warehouses,-18.9085,47.5375,9046
warehouses,-17.3843,49.4098,2762
warehouses,-16.9167,49.9,1682
warehouses,-15.4309,49.7583,1870
warehouses,-16.1702,49.7741,0
warehouses,-16.9261,49.5871,375
warehouses,-25.17613271,46.08937803,2322
warehouses,-25.0316,46.99,0
warehouses,-24.2064,45.8658,610
warehouses,-23.35,43.6667,1027
warehouses,-23.4522,45.0781,0
warehouses,-23.42605,47.05908,1870
warehouses,-22.8167,47.8167,3331
warehouses,-23.3505,47.6088,0
warehouses,-18.1499,49.4023,1580
warehouses,-16.9504,46.8281,0
warehouses,-15.7167,46.3167,150
warehouses,-13.6804,48.4555,375
warehouses,-18.9608,46.9036,3
warehouses,-18.0646,44.0295,2460
warehouses,-20.2847,44.3175,736
warehouses,-14.8833,50.2833,5700
warehouses,-14.2667,50.1667,0
warehouses,-14.8762,47.9835,610
warehouses,-22.15,48,4235